Email,Sexo,Cidade,Estado
cliente71@yahoo.com.br,M,São Paulo,SP
cliente129@outlook.com,M,Londrina,PR
cliente150@bol.com.br,F,Rio de Janeiro,RJ
cliente231@bol.com.br,M,Recife,PE
cliente12@outlook.com,F,Caraguatatuba,SP
cliente173@outlook.com,,Caraguatatuba,SP
cliente157@gmail.com,M,Rio de Janeiro,RJ
cliente87@outlook.com,M,Rio de Janeiro,RJ
cliente21@outlook.com,,São Paulo,SP
cliente96@gmail.com,F,Angra dos Reis,RJ
cliente41@outlook.com,M,Curitiba,PR
cliente193@bol.com.br,M,Belo Horizonte,MG
cliente190@gmail.com,F,Recife,PE
cliente211@outlook.com,M,Manaus,AM
cliente140@yahoo.com.br,M,São José dos Campos,SP
cliente3@outlook.com,M,Curitiba,PR
cliente151@outlook.com,M,Angra dos Reis,RJ
cliente297@bol.com.br,,São José dos Campos,SP
cliente298@gmail.com,,São Paulo,SP
cliente213@outlook.com,M,Curitiba,PR
cliente23@bol.com.br,M,São Paulo,SP
cliente138@gmail.com,M,Florianópolis,SC
cliente194@outlook.com,M,Curitiba,PR
cliente260@yahoo.com.br,M,São Paulo,SP
cliente108@gmail.com,F,São Paulo,SP
cliente139@gmail.com,M,São José dos Campos,SP
cliente254@outlook.com,F,Cotia,SP
cliente234@gmail.com,M,Campinas,SP
cliente182@gmail.com,M,Caraguatatuba,SP
cliente49@gmail.com,M,São Paulo,SP
cliente212@outlook.com,F,São Paulo,SP
cliente61@outlook.com,M,Caraguatatuba,SP
cliente88@gmail.com,M,Campinas,SP
cliente48@gmail.com,M,Belo Horizonte,MG
cliente85@outlook.com,M,Angra dos Reis,RJ
cliente144@gmail.com,M,Recife,PE
cliente33@gmail.com,F,Recife,PE
cliente67@outlook.com,F,Cotia,SP
cliente95@gmail.com,M,Recife,PE
cliente228@outlook.com,M,Londrina,PR
cliente158@outlook.com,M,Florianópolis,SC
cliente275@outlook.com,M,Curitiba,PR
cliente246@gmail.com,F,Manaus,AM
cliente245@outlook.com,F,Cotia,SP
cliente89@outlook.com,M,Manaus,AM
cliente103@yahoo.com.br,F,Florianópolis,SC
cliente188@outlook.com,,Fortaleza,CE
cliente259@gmail.com,M,Contagem,MG
cliente63@outlook.com,F,Cotia,SP
cliente124@yahoo.com.br,M,Fortaleza,CE
cliente13@yahoo.com.br,M,São José dos Campos,SP
cliente287@outlook.com,F,Fortaleza,CE
cliente195@yahoo.com.br,M,Contagem,MG
cliente55@gmail.com,M,Rio de Janeiro,RJ
cliente15@bol.com.br,F,Rio de Janeiro,RJ
cliente113@outlook.com,F,São Paulo,SP
cliente53@outlook.com,F,Cotia,SP
cliente56@outlook.com,M,Fortaleza,CE
cliente119@yahoo.com.br,M,São José dos Campos,SP
cliente2@gmail.com,,São Paulo,SP
cliente242@outlook.com,,Manaus,AM
cliente183@gmail.com,F,Natal,RN
cliente216@gmail.com,M,São Paulo,SP
cliente84@gmail.com,F,Campinas,SP
cliente69@gmail.com,F,Natal,RN
cliente200@gmail.com,M,São José dos Campos,SP
cliente17@gmail.com,M,Cotia,SP
cliente160@gmail.com,M,Contagem,MG
cliente58@outlook.com,M,Londrina,PR
cliente196@yahoo.com.br,M,São José dos Campos,SP
cliente34@gmail.com,M,Manaus,AM
cliente239@yahoo.com.br,M,São José dos Campos,SP
cliente74@outlook.com,M,Manaus,AM
cliente227@gmail.com,,Contagem,MG
cliente278@gmail.com,,Fortaleza,CE
cliente152@gmail.com,,Recife,PE
cliente164@outlook.com,M,São Paulo,SP
cliente258@outlook.com,M,Manaus,AM
cliente240@gmail.com,M,Rio de Janeiro,RJ
cliente199@gmail.com,M,São Paulo,SP
cliente203@gmail.com,M,São Paulo,SP
cliente10@gmail.com,M,Recife,PE
cliente155@outlook.com,F,Cotia,SP
cliente233@outlook.com,M,Jacareí,SP
cliente148@outlook.com,M,Fortaleza,CE
cliente25@yahoo.com.br,M,Contagem,MG
cliente37@yahoo.com.br,M,Cotia,SP
cliente51@outlook.com,M,Manaus,AM
cliente251@gmail.com,M,Recife,PE
cliente133@gmail.com,F,Brasília,DF
cliente132@bol.com.br,M,Recife,PE
cliente289@gmail.com,F,Recife,PE
cliente224@outlook.com,F,São José dos Campos,SP
cliente82@outlook.com,M,São Paulo,SP
cliente217@gmail.com,M,Florianópolis,SC
cliente268@gmail.com,F,Angra dos Reis,RJ
cliente45@gmail.com,M,São Paulo,SP
cliente52@yahoo.com.br,M,São José dos Campos,SP
cliente171@yahoo.com.br,F,Natal,RN
